,,,,,,
Predictor,a,b,c,d,Odds_Ratio,Log_OR_Total_Effect
36104-Post_vaccinefactors-12,7,2,31,439,41.85714286,3.73426246
30141-covid_tst_symptoms-23,13,4,39,470,35.73417722,3.576107576
30158-Symtpom_Neuro-7,24,11,28,463,34.64759725,3.54522838
32356-pinkblue_confirm_2,13,6,27,458,34.62797203,3.544661796
30158-Symtpom_Neuro-8,20,8,32,466,34.61809955,3.544376654
30766-pinkblue_confirm,23,11,27,459,34.14466403,3.530606323
36096-Post_covidvaccine,36,166,2,275,24.15795796,3.184613848
30141-covid_tst_symptoms-5,21,13,31,461,23.33274544,3.149857758
30153-Symptoms-6,25,21,27,453,19.5589852,2.973434782
30141-covid_tst_symptoms-6,31,36,21,438,17.60146543,2.867982162
,,,,,,
