,,,,,,
Predictor,a,b,c,d,Odds_Ratio,Log_OR_Total_Effect
36104-Post_vaccinefactors-12,7,2,31,439,41.85714286,3.73426246
30141-covid_tst_symptoms-23,13,4,39,470,35.73417722,3.576107576
30158-Symtpom_Neuro-7,24,11,28,463,34.64759725,3.54522838
32356-pinkblue_confirm_2,13,6,27,458,34.62797203,3.544661796
30158-Symtpom_Neuro-8,20,8,32,466,34.61809955,3.544376654
30766-pinkblue_confirm,23,11,27,459,34.14466403,3.530606323
36096-Post_covidvaccine,36,166,2,275,24.15795796,3.184613848
30141-covid_tst_symptoms-5,21,13,31,461,23.33274544,3.149857758
30153-Symptoms-6,25,21,27,453,19.5589852,2.973434782
30141-covid_tst_symptoms-6,31,36,21,438,17.60146543,2.867982162
30138-COVID_Why-1,36,54,16,420,17.06783431,2.837195657
30156-Symptom_GI-4,22,27,30,447,12.00447094,2.485279159
30153-Symptoms-2,26,38,26,436,11.33766234,2.428130134
30153-Symptoms-3,29,48,23,426,11.03904365,2.401438411
30141-covid_tst_symptoms-25,15,20,37,454,9.163902439,2.215272118
30150-flu_tst_symptoms-16,0,0,52,474,9.038095238,2.201448448
30154-Symptoms_Resp-3,36,98,16,376,8.455468389,2.134813379
30155-Symptom_Resp_other,43,168,9,306,8.329064501,2.119751145
32137-vaccine_avail,29,57,27,440,8.218023715,2.106329756
30157-Symtpom_GI_other,32,98,20,376,6.05979943,1.801676702
30158-Symtpom_Neuro-2,31,120,21,354,4.310238348,1.460993204
31350-healthdevice_type-5,0,1,38,440,3.813852814,1.338639915
32016-time_picker,50,468,0,2,0.538954109,-0.618124853
30172-COVID_vaccine_type,26,394,26,80,0.204055767,-1.589361956
30725-have_allitems,12,329,38,141,0.139428098,-1.970206234
31396-join_hear-2,4,222,34,219,0.128676111,-2.050456796
30154-Symptoms_Resp-1,9,302,43,172,0.124536905,-2.08315318
32730-howreceive,58,501,0,0,0.11665005,-2.148576853
30132-covid_tested30,52,474,0,0,0.110642782,-2.201448448
32316-have_allitems_2,6,320,34,144,0.084944267,-2.465759916
30769-blue_nopink_confirm,27,449,23,21,0.055972357,-2.882897335
29792-consent_covid+,1,298,57,203,0.017784575,-4.029423768
,,,,,,
