Predictor,Importance
32730-howreceive,0.37275323313742736
30766-pinkblue_confirm__30154-Symptoms_Resp-3,0.30043082170756585
30158-Symtpom_Neuro-7__32016-time_picker,0.07446821560150688
30158-Symtpom_Neuro-7__30769-blue_nopink_confirm,0.049546693812231875
32137-vaccine_avail,0.029063780515095252
32730-howreceive__32016-time_picker,0.020770957077279634
32016-time_picker__30769-blue_nopink_confirm,0.019181093589604105
32016-time_picker,0.018739269315323673
30132-covid_tested30__30158-Symtpom_Neuro-7,0.016071993073211766
30766-pinkblue_confirm__30138-COVID_Why-1,0.012046136038245617
30132-covid_tested30__32016-time_picker,0.009165645648974093
30766-pinkblue_confirm__30141-covid_tst_symptoms-6,0.009020746800239478
30141-covid_tst_symptoms-23,0.009011483009464418
32016-time_picker__30138-COVID_Why-1,0.008860299008871673
30132-covid_tested30,0.006186937879697669
29792-consent_covid+,0.005199737234510093
30141-covid_tst_symptoms-6__30155-Symptom_Resp_other,0.004388641802771512
30132-covid_tested30__30155-Symptom_Resp_other,0.0038025359190498823
32730-howreceive__30141-covid_tst_symptoms-6,0.0032860740490707353
32730-howreceive__30155-Symptom_Resp_other,0.003242051888637572
30132-covid_tested30__30769-blue_nopink_confirm,0.002728837264562927
30132-covid_tested30__32730-howreceive,0.002640510167355621
30132-covid_tested30__29792-consent_covid+,0.001971502744319517
32316-have_allitems_2,0.0016007673823460876
32730-howreceive__29792-consent_covid+,0.0014551712299268108
30138-COVID_Why-1__30155-Symptom_Resp_other,0.0013369963137677434
30158-Symtpom_Neuro-7__30766-pinkblue_confirm,0.0013201350703107636
30172-COVID_vaccine_type,0.0011795941700489634
30766-pinkblue_confirm__32016-time_picker,0.0011576735244113044
29792-consent_covid+__32316-have_allitems_2,0.0010800579837121906
30132-covid_tested30__30766-pinkblue_confirm,0.0010785326780512869
32316-have_allitems_2__30155-Symptom_Resp_other,0.0008782021533508374
32016-time_picker__30154-Symptoms_Resp-3,0.0008445810554650614
30158-Symtpom_Neuro-7__30155-Symptom_Resp_other,0.0006211007873966878
32730-howreceive__30154-Symptoms_Resp-1,0.0005640724215011751
30132-covid_tested30__32316-have_allitems_2,0.0005392105984850247
30766-pinkblue_confirm,0.000507220901786391
30132-covid_tested30__30154-Symptoms_Resp-3,0.00048485665236053455
30132-covid_tested30__32730-howreceive__30766-pinkblue_confirm,0.0004819807352110702
32016-time_picker__30141-covid_tst_symptoms-6,0.0003365597640009405
30154-Symptoms_Resp-3__30155-Symptom_Resp_other,0.00032114180313363484
32730-howreceive__30766-pinkblue_confirm,0.00031374250094624753
"31400-challenges_There was a delay in my at home test, but came the next day",0.00019616090508109082
32316-have_allitems_2__32016-time_picker,0.00019320200646527714
30132-covid_tested30__30154-Symptoms_Resp-1,0.0001772207856017032
32316-have_allitems_2__30154-Symptoms_Resp-3,9.638717239924397e-05
30154-Symptoms_Resp-1__32016-time_picker,8.847931633148458e-05
30157-Symtpom_GI_other,8.142319496313737e-05
30158-Symtpom_Neuro-7__30154-Symptoms_Resp-3,7.232495616903376e-05
32730-howreceive__30769-blue_nopink_confirm,6.511012521492173e-05
30141-covid_tst_symptoms-6__30138-COVID_Why-1,6.341291285600745e-05
30132-covid_tested30__32730-howreceive__30158-Symtpom_Neuro-7,5.0048186567815334e-05
32316-have_allitems_2__30769-blue_nopink_confirm,3.9846509504606146e-05
32730-howreceive__30158-Symtpom_Neuro-7__30766-pinkblue_confirm,3.705823597021588e-05
32730-howreceive__30138-COVID_Why-1,3.341610217545068e-05
30154-Symptoms_Resp-1,2.7298938965395994e-05
36096-Post_covidvaccine,2.585059623933941e-05
32730-howreceive__32316-have_allitems_2,2.151289202384357e-05
31396-join_hear-2,1.4921817959809521e-05
30132-covid_tested30__30158-Symtpom_Neuro-7__30153-Symptoms-6,9.696444658161334e-06
30766-pinkblue_confirm__30155-Symptom_Resp_other,6.180943837523008e-06
32016-time_picker__30141-covid_tst_symptoms-5,5.332751526640656e-06
32730-howreceive__30141-covid_tst_symptoms-5,4.117284016591934e-06
30132-covid_tested30__30153-Symptoms-6__30766-pinkblue_confirm,3.887786470264143e-06
30132-covid_tested30__30138-COVID_Why-1,2.8605532307702627e-06
30154-Symptoms_Resp-1__32316-have_allitems_2,2.1157442482423415e-06
30156-Symptom_GI-4,1.5439802940229589e-06
30138-COVID_Why-1,6.9747133761701e-07
30766-pinkblue_confirm__30141-covid_tst_symptoms-5,6.228049865541632e-07
30155-Symptom_Resp_other,2.409529326440673e-07
