,,
Predictor,Coefficient,Abs_Coefficient
32730-howreceive,0.710634828,0.710634828
30766-pinkblue_confirm__30154-Symptoms_Resp-3,0.619721021,0.619721021
30158-Symtpom_Neuro-7__30769-blue_nopink_confirm,0.381435778,0.381435778
32730-howreceive__29792-consent_covid+,-0.290389876,0.290389876
29792-consent_covid+,-0.220610189,0.220610189
32137-vaccine_avail,0.194611566,0.194611566
32730-howreceive__30141-covid_tst_symptoms-6,0.129770132,0.129770132
30158-Symtpom_Neuro-7__30155-Symptom_Resp_other,0.114861175,0.114861175
30132-covid_tested30__30766-pinkblue_confirm,0.10164724,0.10164724
30158-Symtpom_Neuro-7,0.091348428,0.091348428
32730-howreceive__30138-COVID_Why-1,0.085812047,0.085812047
31396-join_hear-2,-0.053739707,0.053739707
30766-pinkblue_confirm__30138-COVID_Why-1,0.051311812,0.051311812
30141-covid_tst_symptoms-23,0.027853335,0.027853335
32016-time_picker__30769-blue_nopink_confirm,-0.015561224,0.015561224
,,
